corpus,layer,head,gqa_group,region,block_size,top_k,condition,metric,mean,documents,ci_low,ci_high
hotpotqa,0,0,0,local,16,8,content_vs_punctuation,top_mass_overlap,0.9323563752695918,4,0.9191011525690556,0.9406825918704271
hotpotqa,0,0,0,local,16,8,content_vs_question,jaccard,0.9222222222222222,4,0.8333333333333333,1.0
hotpotqa,0,0,0,local,16,8,content_vs_question,js_similarity,0.9872925133877578,4,0.9827805128256387,0.9918045139498768
hotpotqa,0,0,0,local,16,8,content_vs_question,spearman,0.9680471912274526,4,0.9507546349185909,0.9796720631518785
hotpotqa,0,0,0,local,16,8,content_vs_question,top_mass_overlap,0.9348135977983475,4,0.9183558225631714,0.950505942106247
hotpotqa,0,0,0,local,16,8,fixed,jaccard,0.8616161616161616,4,0.8260101010101011,0.8972222222222224
hotpotqa,0,0,0,local,16,8,fixed,js_similarity,0.9386670603741717,4,0.9221091176979388,0.9580038977489416
hotpotqa,0,0,0,local,16,8,fixed,spearman,0.9290662636992325,4,0.9069102455011984,0.9489650484799533
hotpotqa,0,0,0,local,16,8,fixed,top_mass_overlap,0.868854496628046,4,0.8428809083998203,0.8948280848562717
hotpotqa,0,0,0,local,16,8,fixed_shared,retained_mass,0.9755871363257551,4,0.9750187136278009,0.9762174534032473
hotpotqa,0,0,0,local,16,8,fixed_shared,retained_ratio,0.984892129181111,4,0.9838549167940749,0.9857990510961614
hotpotqa,0,0,0,local,16,8,idf_route,evidence_recall,0.03125,4,0.0,0.09375
hotpotqa,0,0,0,local,16,8,independent,retained_mass,0.9900918625889668,4,0.9891131672465883,0.9909925479470245
hotpotqa,0,0,0,local,16,8,independent_upper,evidence_recall,0.03125,4,0.0,0.09375
hotpotqa,0,0,0,local,16,8,lambda_0,coverage,0.9843585518492848,4,0.9826373337297364,0.9853835324110128
hotpotqa,0,0,0,local,16,8,lambda_0.25,coverage,0.9850507243607316,4,0.9835827890279712,0.9861025397889462
hotpotqa,0,0,0,local,16,8,lambda_0.5,coverage,0.9852323595694871,4,0.9840088411103849,0.9862355175245228
hotpotqa,0,0,0,local,16,8,lambda_0.75,coverage,0.9854293697044956,4,0.9843440360009196,0.9867573735591693
hotpotqa,0,0,0,local,16,8,lambda_1,coverage,0.9429356020546777,4,0.9220828075872095,0.9637863982946445
hotpotqa,0,0,0,local,16,8,learned_route,evidence_recall,0.03125,4,0.0,0.09375
hotpotqa,0,0,0,local,16,8,random,jaccard,0.06312229437229437,4,0.026704545454545453,0.09954004329004329
hotpotqa,0,0,0,local,16,8,random,js_similarity,0.07856948028781352,4,0.0380537129666493,0.12244793610057957
