contrast,context_length,cache_budget,remote_count,metric,left_mean,right_mean,mean_difference,ci_low,ci_high,documents,targets
prefix_minus_recent,32768,2048,64,delta_ce,0.01814999031618303,0.6495032887758354,-0.6313532984596524,-0.9591254941093136,-0.36881862545988614,8,512
prefix_minus_recent,32768,2048,64,kl_full_to_compact,0.06668617930172238,0.806819706560101,-0.7401335272583787,-1.132567718445726,-0.4203050550271736,8,512
prefix_minus_recent,32768,2048,64,top1_changed,0.1328125,0.361328125,-0.228515625,-0.287109375,-0.17377929687500027,8,512
prefix_minus_recent,32768,8192,64,delta_ce,-0.002814112102058619,0.3266780590773277,-0.32949217117938634,-0.5774817038134265,-0.1430951475952675,8,512
prefix_minus_recent,32768,8192,64,kl_full_to_compact,0.026972597199386827,0.45171835114110204,-0.4247457539417152,-0.6763318144268091,-0.21933162715868784,8,512
prefix_minus_recent,32768,8192,64,top1_changed,0.087890625,0.27734375,-0.189453125,-0.24609375,-0.140625,8,512
prefix_minus_random,16384,128,16,delta_ce,0.30274354430483275,1.8996572588208487,-1.596913714516016,-2.0372701240362465,-1.2427499557982575,8,512
prefix_minus_random,16384,128,16,kl_full_to_compact,0.3179759462709222,1.9851661743795415,-1.6671902281086193,-2.0688124050484014,-1.3498046004108772,8,512
prefix_minus_random,16384,128,16,top1_changed,0.2265625,0.638671875,-0.412109375,-0.458984375,-0.37109375,8,512
prefix_minus_random,16384,512,16,delta_ce,0.08944428552601558,0.8409987341679215,-0.7515544486419059,-1.1848890434743407,-0.41932879734294787,8,512
prefix_minus_random,16384,512,16,kl_full_to_compact,0.1369412573252406,0.9952695749937721,-0.8583283176685315,-1.2757470159754558,-0.5115703572115727,8,512
prefix_minus_random,16384,512,16,top1_changed,0.1640625,0.4140625,-0.25,-0.32421875,-0.185546875,8,512
prefix_minus_random,16384,2048,16,delta_ce,0.0378457378912862,0.48056379011838857,-0.44271805222710237,-0.7028508504350467,-0.2635423109477718,8,512
prefix_minus_random,16384,2048,16,kl_full_to_compact,0.06615904914694569,0.5559142688145764,-0.4897552196676307,-0.7507971425063286,-0.29262537723019494,8,512
prefix_minus_random,16384,2048,16,top1_changed,0.09765625,0.294921875,-0.197265625,-0.275390625,-0.134765625,8,512
prefix_minus_random,16384,8192,16,delta_ce,0.0022702708024415763,0.33389688479768687,-0.3316266139952453,-0.5705440310470923,-0.16119193892993167,8,512
prefix_minus_random,16384,8192,16,kl_full_to_compact,0.016108761994479304,0.40272085958456616,-0.38661209759008686,-0.6226957146469736,-0.21127135749421017,8,512
prefix_minus_random,16384,8192,16,top1_changed,0.0703125,0.23828125,-0.16796875,-0.240283203125,-0.10546875,8,512
prefix_minus_random,24576,128,16,delta_ce,0.26776797605541347,1.9883866561597756,-1.7206186801043621,-2.069901727710915,-1.3983693434955309,8,512
prefix_minus_random,24576,128,16,kl_full_to_compact,0.29792243869825086,2.1728282380312294,-1.8749057993329785,-2.235390911810526,-1.5056934403909068,8,512
prefix_minus_random,24576,128,16,top1_changed,0.203125,0.59375,-0.390625,-0.4296875,-0.357421875,8,512
prefix_minus_random,24576,512,16,delta_ce,0.17046019862955752,1.3446943996680147,-1.1742342010384572,-1.6958198930320716,-0.7451307047811611,8,512
prefix_minus_random,24576,512,16,kl_full_to_compact,0.17592579868421798,1.5009336785109895,-1.3250078798267715,-1.7799391145399823,-0.9352156540867185,8,512
prefix_minus_random,24576,512,16,top1_changed,0.16015625,0.53515625,-0.375,-0.439453125,-0.3046875,8,512
prefix_minus_random,24576,2048,16,delta_ce,0.11475293175705836,0.7713035004418991,-0.6565505686848407,-1.144072787849305,-0.3696036371953468,8,512
prefix_minus_random,24576,2048,16,kl_full_to_compact,0.10604714678575455,0.8060400413404487,-0.6999928945546942,-1.1671703953203436,-0.4004928318845281,8,512
prefix_minus_random,24576,2048,16,top1_changed,0.125,0.380859375,-0.255859375,-0.3359375,-0.18549804687500027,8,512
prefix_minus_random,24576,8192,16,delta_ce,0.01492741200952219,0.43307616619318434,-0.41814875418366215,-0.760020240576651,-0.2003018101198326,8,512
prefix_minus_random,24576,8192,16,kl_full_to_compact,0.028857319575739532,0.48201301315362866,-0.4531556935778891,-0.7520522954195342,-0.26676422206146705,8,512
prefix_minus_random,24576,8192,16,top1_changed,0.068359375,0.298828125,-0.23046875,-0.28515625,-0.17578125,8,512
prefix_minus_random,32768,128,16,delta_ce,0.2606928470258847,2.0516473375843987,-1.790954490558514,-2.185536331470235,-1.4296345136714452,8,512
prefix_minus_random,32768,128,16,kl_full_to_compact,0.2608927126672955,2.213364242032611,-1.9524715293653157,-2.392052573800055,-1.5503769535480023,8,512
prefix_minus_random,32768,128,16,top1_changed,0.23828125,0.701171875,-0.462890625,-0.533203125,-0.396484375,8,512
prefix_minus_random,32768,512,16,delta_ce,0.080673977870382,1.1121526440916654,-1.0314786662212834,-1.4152040423357675,-0.6960677352928428,8,512
prefix_minus_random,32768,512,16,kl_full_to_compact,0.12462976803421011,1.309702831465188,-1.1850730634309778,-1.5770155991580395,-0.8423615125575851,8,512
prefix_minus_random,32768,512,16,top1_changed,0.166015625,0.521484375,-0.35546875,-0.427734375,-0.287109375,8,512
prefix_minus_random,32768,2048,16,delta_ce,0.017055325283344303,0.6139874053332908,-0.5969320800499465,-0.8820469074296392,-0.35763427310288876,8,512
prefix_minus_random,32768,2048,16,kl_full_to_compact,0.06806310390827985,0.7786034388997702,-0.7105403349914904,-1.0633975506017452,-0.41543192652496985,8,512
prefix_minus_random,32768,2048,16,top1_changed,0.140625,0.36328125,-0.22265625,-0.28515625,-0.166015625,8,512
prefix_minus_random,32768,8192,16,delta_ce,-0.000800606424110839,0.32556806314378095,-0.3263686695678918,-0.5808617330650683,-0.13682704110503613,8,512
prefix_minus_random,32768,8192,16,kl_full_to_compact,0.02768096969076167,0.4525764954527154,-0.4248955257619537,-0.6840612375555044,-0.22112640254121185,8,512
prefix_minus_random,32768,8192,16,top1_changed,0.0859375,0.275390625,-0.189453125,-0.248046875,-0.138671875,8,512
prefix_minus_random,16384,128,64,delta_ce,0.3060926307336782,1.7880468681877169,-1.4819542374540386,-1.9754095639404479,-1.0839479506092482,8,512
prefix_minus_random,16384,128,64,kl_full_to_compact,0.33714179519606446,1.8835982650913863,-1.5464564698953218,-2.052792797618504,-1.161601040041001,8,512
prefix_minus_random,16384,128,64,top1_changed,0.228515625,0.587890625,-0.359375,-0.44921875,-0.2890625,8,512
prefix_minus_random,16384,512,64,delta_ce,0.08645320290352965,0.8845189847837776,-0.7980657818802479,-1.2521138075805984,-0.43378614838064233,8,512
prefix_minus_random,16384,512,64,kl_full_to_compact,0.13758439153698782,1.041674219314194,-0.904089827777206,-1.3505553002818478,-0.5521971585586611,8,512
prefix_minus_random,16384,512,64,top1_changed,0.166015625,0.421875,-0.255859375,-0.328125,-0.18359375,8,512
prefix_minus_random,16384,2048,64,delta_ce,0.03752045253984715,0.48971942351889464,-0.4521989709790475,-0.7429707455837207,-0.2569445672107777,8,512
prefix_minus_random,16384,2048,64,kl_full_to_compact,0.06670875908042893,0.56329468657463,-0.49658592749420105,-0.7857125282607172,-0.29052466925337866,8,512
prefix_minus_random,16384,2048,64,top1_changed,0.10546875,0.29296875,-0.1875,-0.267578125,-0.12109375,8,512
prefix_minus_random,16384,8192,64,delta_ce,0.00037364121459937394,0.33029562755790476,-0.3299219863433054,-0.5747691006475655,-0.1641449748900584,8,512
