context_length,cache_budget,policy,remote_count,delta_ce,kl_full_to_compact,top1_changed
24576,2048,prefix_zero_value,16,0.7239514303463181,0.6368008126125346,0.28125
24576,2048,random_remote,16,0.7713035004418991,0.8060400413404487,0.380859375
24576,2048,random_remote,64,0.7820369830535654,0.8138906573212328,0.38671875
24576,2048,recent_only,0,0.7684527516247961,0.8048219366704892,0.37890625
24576,2048,strided_remote,16,0.7649986745496058,0.8031958397958281,0.3671875
24576,2048,strided_remote,64,0.7697216583042099,0.8089058313239477,0.3828125
24576,8192,prefix,1,0.015042736804639967,0.028904769144215053,0.072265625
24576,8192,prefix,4,0.01396999736127924,0.028621433991338346,0.0625
24576,8192,prefix,16,0.01492741200952219,0.028857319575739532,0.068359375
24576,8192,prefix,64,0.013410595056479568,0.028475150138467797,0.05859375
24576,8192,prefix_zero_value,4,0.44892046531573726,0.4136703966715345,0.208984375
24576,8192,prefix_zero_value,16,0.4478111017356099,0.4126194297073482,0.208984375
24576,8192,random_remote,16,0.43307616619318434,0.48201301315362866,0.298828125
24576,8192,random_remote,64,0.4381643929776269,0.4854060031134697,0.30078125
24576,8192,recent_only,0,0.4327207053335149,0.48212210291951063,0.2890625
24576,8192,strided_remote,16,0.433717646677235,0.48240196425974124,0.298828125
24576,8192,strided_remote,64,0.4285038055196546,0.4802957437045885,0.291015625
32768,128,prefix,1,0.25498587905620695,0.25559653818255335,0.234375
32768,128,prefix,4,0.25628262295894366,0.25162544849357893,0.23828125
32768,128,prefix,16,0.2606928470258847,0.2608927126672955,0.23828125
32768,128,prefix,64,0.3256768938125614,0.33715266587235393,0.2578125
32768,128,prefix_zero_value,4,0.9934432200439005,0.8314436703058163,0.396484375
32768,128,prefix_zero_value,16,1.0264944424923215,0.876870481323806,0.404296875
32768,128,random_remote,16,2.0516473375843987,2.213364242032611,0.701171875
32768,128,random_remote,64,1.9760731221750802,2.103493197066996,0.67578125
32768,128,recent_only,0,2.299716430883606,2.4372277999943393,0.7109375
32768,128,strided_remote,16,1.826223914209038,1.9304546061589747,0.630859375
32768,128,strided_remote,64,1.8904077042036533,2.033445555424578,0.64453125
32768,512,prefix,1,0.07414047607180319,0.1245523311215182,0.166015625
32768,512,prefix,4,0.07623103632210881,0.12336380019757498,0.17578125
32768,512,prefix,16,0.080673977870382,0.12462976803421011,0.166015625
32768,512,prefix,64,0.09427083984470608,0.12907917738936647,0.173828125
32768,512,prefix_zero_value,4,0.6907809972175869,0.5758261929887567,0.3046875
32768,512,prefix_zero_value,16,0.700158094773542,0.5830115630275259,0.31640625
32768,512,random_remote,16,1.1121526440916654,1.309702831465188,0.521484375
32768,512,random_remote,64,0.9607283014168502,1.1180852379796278,0.48828125
32768,512,recent_only,0,1.4103227960447953,1.6435683682917954,0.556640625
32768,512,strided_remote,16,1.121727021107347,1.3280953027398823,0.53125
32768,512,strided_remote,64,1.023390606570544,1.1876121186848678,0.5078125
32768,2048,prefix,1,0.017829673696227566,0.06744894466065188,0.1328125
32768,2048,prefix,4,0.017350713447319865,0.06739713126687197,0.130859375
32768,2048,prefix,16,0.017055325283344303,0.06806310390827985,0.140625
32768,2048,prefix,64,0.01814999031618303,0.06668617930172238,0.1328125
32768,2048,prefix_zero_value,4,0.48807752632461643,0.41877241548121447,0.267578125
32768,2048,prefix_zero_value,16,0.48638171885642123,0.4184948170949667,0.27734375
32768,2048,random_remote,16,0.6139874053332908,0.7786034388997702,0.36328125
32768,2048,random_remote,64,0.5900639590254553,0.7603165377760592,0.3515625
32768,2048,recent_only,0,0.6495032887758354,0.806819706560101,0.361328125
32768,2048,strided_remote,16,0.6485200035497227,0.8013270339243399,0.365234375
32768,2048,strided_remote,64,0.5515140872613542,0.7144433942052446,0.353515625
32768,8192,prefix,1,-0.004850130302941125,0.029189762123583277,0.083984375
32768,8192,prefix,4,-0.003842087446808584,0.027156720547575813,0.080078125
32768,8192,prefix,16,-0.000800606424110839,0.02768096969076167,0.0859375
32768,8192,prefix,64,-0.002814112102058619,0.026972597199386827,0.087890625
32768,8192,prefix_zero_value,4,0.33738051035960837,0.2919620210189464,0.19140625
32768,8192,prefix_zero_value,16,0.3371120212375587,0.29288050421757816,0.201171875
32768,8192,random_remote,16,0.32556806314378095,0.4525764954527154,0.275390625
32768,8192,random_remote,64,0.3287530920886099,0.4493848811635288,0.28515625
32768,8192,recent_only,0,0.3266780590773277,0.45171835114110204,0.27734375
32768,8192,strided_remote,16,0.3290114671804103,0.4539516390803069,0.28125
32768,8192,strided_remote,64,0.3304879851110658,0.45417111377934694,0.279296875
