coarse_category,fine_category,layer,block_index,key_start,key_end,queries,documents,attention_mass_mean,attention_mass_median,concentration_mean
content,adjective,0,43,5504,5632,32,7,0.0014774553674214985,0.0013885233202017844,0.18874462880194187
content,adjective,0,44,5632,5760,32,7,0.0012444988678907976,0.0011789068230427802,0.15898846136406064
content,adjective,0,45,5760,5888,32,7,0.0008578068191127386,0.0007999127265065908,0.10958205652423203
content,adjective,0,46,5888,6016,32,7,0.0019393398069951218,0.0017373622977174819,0.24768922943621874
content,adjective,0,47,6016,6144,32,7,0.003268895721703302,0.0029690443770959973,0.4175797114148736
content,adjective,0,48,6144,6272,32,7,0.0027828724414575845,0.0024769321316853166,0.3555077640339732
content,adjective,0,49,6272,6400,32,7,0.0032025341897679027,0.002994454698637128,0.40910702338442206
content,adjective,0,50,6400,6528,32,7,0.004448568499356043,0.004300108877941966,0.5683528371155262
content,adjective,0,51,6528,6656,32,7,0.002119367814884754,0.0020560803823173046,0.2707886779680848
content,adjective,0,52,6656,6784,32,7,0.0011290809288766468,0.0010739227291196585,0.14423110825009644
content,adjective,0,53,6784,6912,32,7,0.0020882935532426927,0.0016749337664805353,0.26676842011511326
content,adjective,0,54,6912,7040,32,7,0.002000155498535605,0.0018352744518779218,0.255544597748667
content,adjective,0,55,7040,7168,32,7,0.0014393043347808998,0.0013964081881567836,0.18387247109785676
content,adjective,0,56,7168,7296,32,7,0.0019766102923313156,0.001874871551990509,0.252466578502208
content,adjective,0,57,7296,7424,32,7,0.007080597846652381,0.007462400710210204,0.9043796416372061
content,adjective,0,58,7424,7552,32,7,0.008927872069762088,0.008984607644379139,1.140879139304161
content,adjective,0,59,7552,7680,32,7,0.0027440884477982763,0.0025462721241638064,0.35061327181756496
content,adjective,0,60,7680,7808,32,7,0.0019445604593784083,0.002029297058470547,0.24839107226580381
content,adjective,0,61,7808,7936,32,7,0.0023101740625861567,0.0022363432217389345,0.2951389364898205
content,adjective,0,62,7936,8064,32,7,0.0016655057916068472,0.0016352515667676926,0.21278305118903518
content,adjective,0,63,8064,8192,32,7,0.0012355111648503225,0.0012171999551355839,0.15783355222083628
content,adjective,0,64,8192,8320,32,7,0.00257520294690039,0.0023737092269584537,0.32889110408723354
content,adjective,0,65,8320,8448,32,7,0.007547258777776733,0.007590340916067362,0.964132821187377
content,adjective,0,66,8448,8576,32,7,0.0037295461515896022,0.003721090266481042,0.4765890911221504
content,adjective,0,67,8576,8704,32,7,0.0019643253399408422,0.001992698642425239,0.2509382679127157
content,adjective,0,68,8704,8832,32,7,0.003121650363027584,0.0031910097459331155,0.3987699169665575
content,adjective,0,69,8832,8960,32,7,0.0021750342966697644,0.0021589756943285465,0.2778908312320709
content,adjective,0,70,8960,9088,32,7,0.0012433364008757053,0.0012144321226514876,0.15884256944991648
content,adjective,0,71,9088,9216,32,7,0.0014778991862840485,0.0014443535474129021,0.1887878538109362
content,adjective,0,72,9216,9344,32,7,0.002532228383643087,0.002492704545147717,0.32347098737955093
content,adjective,0,73,9344,9472,32,7,0.0027802699769381434,0.002753216540440917,0.3551937211304903
content,adjective,0,74,9472,9600,32,7,0.0019668927634484135,0.0018986773793585598,0.2512482702732086
content,adjective,0,75,9600,9728,32,7,0.0039136644336394966,0.0038598946994170547,0.4998920410871506
content,adjective,0,76,9728,9856,32,7,0.007319168245885521,0.0072025402914732695,0.9350794460624456
content,adjective,0,77,9856,9984,32,7,0.002717309784202371,0.0026857337215915322,0.3471536859869957
content,adjective,0,78,9984,10112,32,7,0.001550792614580132,0.0015400586416944861,0.1981021026149392
content,adjective,0,79,10112,10240,32,7,0.005559083649131935,0.005509106209501624,0.7100564697757363
content,adjective,0,80,10240,10368,32,7,0.0049233087920583785,0.004688494373112917,0.6290813544765115
content,adjective,0,81,10368,10496,32,7,0.00212331288275891,0.0020830503199249506,0.2712385677732527
content,adjective,0,82,10496,10624,32,7,0.004384217449114658,0.004080509999766946,0.5599781051278114
content,adjective,0,83,10624,10752,32,7,0.013603980944026262,0.013912584632635117,1.7378510348498821
content,adjective,0,84,10752,10880,32,7,0.008655503246700391,0.008342929184436798,1.1059887185692787
content,adjective,0,85,10880,11008,32,7,0.0032353420901927166,0.0032072251196950674,0.4132957449182868
content,adjective,0,86,11008,11136,32,7,0.008263456154963933,0.0072480556555092335,1.0553268399089575
content,adjective,0,87,11136,11264,32,7,0.02239258773624897,0.020909474231302738,2.860894523561001
content,adjective,0,88,11264,11392,32,7,0.005100716109154746,0.004700759658589959,0.651684707030654
content,adjective,0,89,11392,11520,32,7,0.010969154769554734,0.004314676392823458,1.4015655238181353
content,adjective,0,90,11520,11648,32,7,0.009022996833664365,0.008841617032885551,1.1525569818913937
content,adjective,0,91,11648,11776,32,7,0.008881632718839683,0.0088567566126585,1.1347453594207764
content,adjective,0,92,11776,11904,32,7,0.00394255204446381,0.003740605083294213,0.503707648254931
content,adjective,0,93,11904,12032,32,7,0.004040026418806519,0.004083997802808881,0.5161181865260005
content,adjective,0,94,12032,12160,32,7,0.006483529810793698,0.00627739867195487,0.8282006401568651
content,adjective,0,95,12160,12288,32,7,0.0037226658132567536,0.003664022544398904,0.47568961000069976
content,adjective,0,96,12288,12416,32,7,0.0019214308085793164,0.00188990036258474,0.24546050652861595
content,adjective,0,97,12416,12544,32,7,0.002389360019151354,0.002362589817494154,0.3052231790497899
content,adjective,0,98,12544,12672,32,7,0.004822621020139195,0.00481985742226243,0.6160708572715521
content,adjective,0,99,12672,12800,32,7,0.003910038365575019,0.003927038516849279,0.4995190016925335
content,adjective,0,100,12800,12928,32,7,0.0038793526764493436,0.0037327706813812256,0.495557420887053
content,adjective,0,101,12928,13056,32,7,0.0058628658662200905,0.005990498466417193,0.7489737123250961
content,adjective,0,102,13056,13184,32,7,0.0040014509941102006,0.00331617274787277,0.511235099285841
content,adjective,0,103,13184,13312,32,7,0.0034458335721865296,0.003266288316808641,0.4401371106505394
content,adjective,0,104,13312,13440,32,7,0.0032568528258707374,0.0032619789708405733,0.4160848017781973
content,adjective,0,105,13440,13568,32,7,0.0028710035476251505,0.002773845917545259,0.3667585542425513
content,adjective,0,106,13568,13696,32,7,0.0024224159787991084,0.002417420851998031,0.3094887495972216
content,adjective,0,107,13696,13824,32,7,0.0015945667619234882,0.001547034364193678,0.2037052041850984
content,adjective,0,108,13824,13952,32,7,0.0025517729300190695,0.0022948640398681164,0.32591566862538457
content,adjective,0,109,13952,14080,32,7,0.00492029690212803,0.005008006934076548,0.6285338308662176
content,adjective,0,110,14080,14208,32,7,0.00446319180628052,0.004393075359985232,0.5702092135325074
content,adjective,0,111,14208,14336,32,7,0.003157883467792999,0.003075301181524992,0.40341780614107847
content,adjective,0,112,14336,14464,32,7,0.004120092467928771,0.0039281335193663836,0.5262948563322425
content,adjective,0,113,14464,14592,32,7,0.0064018156117526814,0.006200029049068689,0.8178790975362062
content,adjective,0,114,14592,14720,32,7,0.003740818297956139,0.003792203147895634,0.47789064329117537
content,adjective,0,115,14720,14848,32,7,0.007180098938988522,0.0067253257147967815,0.9171921703964472
content,adjective,0,116,14848,14976,32,7,0.007772830169415101,0.007668968522921205,0.9929624516516924
content,adjective,0,117,14976,15104,32,7,0.008214146306272596,0.008088910486549139,1.0493498276919127
content,adjective,0,118,15104,15232,32,7,0.0069507194275502115,0.0068213376216590405,0.888026712462306
content,adjective,0,119,15232,15360,32,7,0.009599115219316445,0.009521638974547386,1.2262224648147821
content,adjective,0,120,15360,15488,32,7,0.016797921882243827,0.016269095242023468,2.1459957361221313
