coarse_category,fine_category,layer,tokens,documents,attention_mass_mean,attention_mass_median,concentration_mean,contribution_norm_ratio_mean
special,negation,24,2,2,0.5189319998025894,0.5189319998025894,2120.7965698242188,0.4526767134666443
special,negation,27,2,2,0.1428944692015648,0.1428944692015648,583.861572265625,0.05669441446661949
special,pronoun,0,51,8,1.5171463072714259e-05,1.269863514608005e-05,0.06203122966575856,4.411054393202386e-05
special,pronoun,1,51,8,0.00027077707950500586,0.00024141545873135328,1.1070194992364621,0.00071729350590841
special,pronoun,2,51,8,0.0015968230972979584,0.0012003247393295169,6.527925690015157,0.004709046187938428
special,pronoun,4,51,8,0.5801897633309457,0.5537795424461365,2372.040407666973,0.6140426987526464
special,pronoun,8,51,8,0.4575275241159925,0.44919219613075256,1870.6391170726104,0.4487394608703314
special,pronoun,12,51,8,0.2856432815977171,0.2800831198692322,1167.866657331878,0.2887858485474306
special,pronoun,16,51,8,0.21704060233691158,0.1863289326429367,887.3704163794424,0.19493367033554057
special,pronoun,20,51,8,0.2373783936103185,0.18801218271255493,970.5593489104626,0.18893414881883883
special,pronoun,24,51,8,0.4644119283732246,0.4458705186843872,1898.7628173828125,0.3950895658310722
special,pronoun,27,51,8,0.14297503262173897,0.09838586300611496,584.5957508461148,0.08592063666997003
special,punctuation,0,55,8,1.3782785911396125e-05,1.2424059605109505e-05,0.05633728673512285,3.9408930950395934e-05
special,punctuation,1,55,8,0.00025317705307812007,0.0002214981650467962,1.0348049889911304,0.0006737261682494797
special,punctuation,2,55,8,0.0012282469595613127,0.0009018844575621188,5.021382860703902,0.0035671818239445038
special,punctuation,4,55,8,0.5694221036000685,0.5647770166397095,2327.661836381392,0.6032100119374015
special,punctuation,8,55,8,0.44205736680464314,0.4514521360397339,1807.0014892578124,0.4340863287448883
special,punctuation,12,55,8,0.2716814461079511,0.28187307715415955,1110.47626953125,0.2656098391522061
special,punctuation,16,55,8,0.19129977293989875,0.17001841962337494,781.9349587180398,0.16432886096564206
special,punctuation,20,55,8,0.2399246940558607,0.22003167867660522,980.7329096013849,0.17530229531905867
special,punctuation,24,55,8,0.43552891449494796,0.42884495854377747,1780.378495649858,0.39061072035269306
special,punctuation,27,55,8,0.11329927918585864,0.10134516656398773,463.110610407049,0.05807187377729199
special,question_word,0,3,2,2.425533754527957e-05,2.2473808712675236e-05,0.09922244648138683,6.58236658637179e-05
special,question_word,1,3,2,0.0003467482407965387,0.00033508919295854867,1.4186179637908936,0.0008041266507158676
special,question_word,2,3,2,0.0013381370808929205,0.00120377610437572,5.476543585459392,0.004641578455145161
special,question_word,4,3,2,0.5832282900810242,0.5937031507492065,2385.2440592447915,0.6743422547976176
special,question_word,8,3,2,0.47564274072647095,0.5297104716300964,1944.762451171875,0.49344275891780853
special,question_word,12,3,2,0.24415474633375803,0.2582361102104187,998.3249918619791,0.2553309698899587
special,question_word,16,3,2,0.11399155855178833,0.11576542258262634,466.17821248372394,0.09411024302244186
special,question_word,20,3,2,0.12963298708200455,0.12464608997106552,530.2121785481771,0.07083413377404213
special,question_word,24,3,2,0.3135797480742137,0.3326840400695801,1282.6893717447917,0.21596388022104898
special,question_word,27,3,2,0.06597889835635821,0.049012426286935806,269.9704844156901,0.0313112773001194
