coarse_category,layer,region,attention_mass,attention_mass_median,documents,queries
function,4,sink_block_0,0.5834356412177778,0.5609766840934753,8,131
function,8,recent_2k,0.43320387484859463,0.4352767982054502,8,131
function,8,remote_middle,0.1276206768371726,0.12678354720992502,8,131
function,8,sink_block_0,0.4391755070395142,0.43404918909072876,8,131
function,12,recent_2k,0.5685116804650547,0.5719675332657062,8,131
function,12,remote_middle,0.15585712534746785,0.1449410109926248,8,131
function,12,sink_block_0,0.27563124587972654,0.2647431790828705,8,131
function,16,recent_2k,0.5426649690144927,0.5360245294868946,8,131
function,16,remote_middle,0.26693948849728577,0.2589688549924176,8,131
function,16,sink_block_0,0.19039559119757804,0.1610642522573471,8,131
function,20,recent_2k,0.5921446818239429,0.604442568263039,8,131
function,20,remote_middle,0.18208706159433694,0.16791655562701635,8,131
function,20,sink_block_0,0.2257683047925243,0.1867399960756302,8,131
function,24,recent_2k,0.3338403115084551,0.3283102426212281,8,131
function,24,remote_middle,0.2155085850406574,0.21922790963435546,8,131
function,24,sink_block_0,0.4506511586995525,0.43274369835853577,8,131
function,27,recent_2k,0.49830253612968134,0.48355723498389125,8,131
function,27,remote_middle,0.3846422294579935,0.41533186222659424,8,131
function,27,sink_block_0,0.11705528120048174,0.08986665308475494,8,131
other,0,recent_2k,0.6768038221518509,0.6754433626774698,8,40
other,0,remote_middle,0.32259306642299634,0.32409611946786754,8,40
other,0,sink_block_0,0.0006031582255673129,0.0005454763013403863,8,40
other,1,recent_2k,0.7101628717849963,0.708121846546419,8,40
other,1,remote_middle,0.2854731815736159,0.28695105251972564,8,40
other,1,sink_block_0,0.00436398615129292,0.004106907872483134,8,40
other,2,recent_2k,0.6133983074279967,0.6063764860155061,8,40
other,2,remote_middle,0.37451291700053846,0.38254730246262625,8,40
other,2,sink_block_0,0.012088823586236686,0.010972403455525637,8,40
other,4,recent_2k,0.29780983830278274,0.3108642876613885,8,40
other,4,remote_middle,0.11895148781936768,0.12320717061083997,8,40
other,4,sink_block_0,0.5832387439906597,0.5492704212665558,8,40
other,8,recent_2k,0.4422895053936372,0.44486731293727644,8,40
other,8,remote_middle,0.11928347700722952,0.11560091762294178,8,40
other,8,sink_block_0,0.43842708542943,0.4264034330844879,8,40
other,12,recent_2k,0.5714906983273977,0.5710234832658898,8,40
other,12,remote_middle,0.16024452368906167,0.16057567760435631,8,40
other,12,sink_block_0,0.26826482973992827,0.26864875853061676,8,40
other,16,recent_2k,0.537307611353026,0.5423246810387354,8,40
other,16,remote_middle,0.25288411763106067,0.2327787528411136,8,40
other,16,sink_block_0,0.20980831626802682,0.1803043782711029,8,40
other,20,recent_2k,0.5135476885952812,0.48897462501190603,8,40
other,20,remote_middle,0.1891676569370361,0.18738083310381626,8,40
other,20,sink_block_0,0.29728470612317326,0.27917197346687317,8,40
other,24,recent_2k,0.2894251269797678,0.2878872570581734,8,40
other,24,remote_middle,0.225865052908739,0.22178968848311342,8,40
other,24,sink_block_0,0.4847098864614964,0.47493797540664673,8,40
other,27,recent_2k,0.4854886314686155,0.4882402124349028,8,40
other,27,remote_middle,0.340674479023437,0.34562860522419214,8,40
other,27,sink_block_0,0.173836932471022,0.16891802847385406,8,40
special,0,recent_2k,0.6833635932233117,0.6827599483076483,8,111
special,0,remote_middle,0.31607366718696894,0.31655783526366577,8,111
special,0,sink_block_0,0.0005627831791292641,0.0004912543809041381,8,111
special,1,recent_2k,0.7040553994619431,0.7019086023792624,8,111
special,1,remote_middle,0.2915551740986081,0.2938314525526948,8,111
special,1,sink_block_0,0.004389471120645737,0.0044213635846972466,8,111
special,2,recent_2k,0.6219584600704193,0.6219360427930951,8,111
special,2,remote_middle,0.36721569492622186,0.3684340520412661,8,111
special,2,sink_block_0,0.010825893598365353,0.009845542721450329,8,111
special,4,recent_2k,0.2967275354538222,0.2964330487884581,8,111
special,4,remote_middle,0.12328137029423185,0.12235603670706041,8,111
special,4,sink_block_0,0.5799911548425486,0.5665969252586365,8,111
special,8,recent_2k,0.4351532812241301,0.4284046752145514,8,111
special,8,remote_middle,0.11222434327258246,0.10737188185885316,8,111
special,8,sink_block_0,0.4526224335034688,0.45286744832992554,8,111
special,12,recent_2k,0.5828838164441975,0.5892774288076907,8,111
special,12,remote_middle,0.13832608390262763,0.1377124639111571,8,111
special,12,sink_block_0,0.2787901475891337,0.28087979555130005,8,111
special,16,recent_2k,0.5532918823369032,0.5599001579685137,8,111
special,16,remote_middle,0.24416526976300176,0.22730859897274058,8,111
special,16,sink_block_0,0.20254289741451675,0.1705406755208969,8,111
special,20,recent_2k,0.5929306588148245,0.6024034343427047,8,111
special,20,remote_middle,0.17032476276803585,0.16192804179445375,8,111
special,20,sink_block_0,0.23674462514149175,0.20505091547966003,8,111
special,24,recent_2k,0.34102560248307734,0.3391639885958284,8,111
special,24,remote_middle,0.20988433641508203,0.2213560861418955,8,111
special,24,sink_block_0,0.44909011861225506,0.43253111839294434,8,111
special,27,recent_2k,0.5234163299408481,0.5206664339639246,8,111
special,27,remote_middle,0.34714787631408495,0.3734043558361009,8,111
special,27,sink_block_0,0.1294358396684533,0.1023528054356575,8,111
