label_scheme,label,cache_budget,sink_size,metric,contrast,mean_difference,documents,ci_low,ci_high
fine_category,interjection,128,4,delta_ce,category_minus_document_mean,0.3925997014773088,2,-0.01684659129443844,0.8020459942490561
fine_category,negation,128,4,delta_ce,category_minus_document_mean,-0.5507662788833159,10,-0.9732110854044143,-0.22446043380039954
fine_category,number,128,4,delta_ce,category_minus_document_mean,0.25192258359825626,6,-0.15235223913993598,0.8180466120461004
fine_category,other,128,4,delta_ce,category_minus_document_mean,-0.2475621825812725,16,-0.44717745487410476,-0.05020534208449392
fine_category,particle,128,4,delta_ce,category_minus_document_mean,-0.3872382047098502,9,-0.5868023087947853,-0.19474843933347125
fine_category,pronoun,128,4,delta_ce,category_minus_document_mean,-0.12324252693208514,15,-0.2336848043438084,-0.0072311017434923365
fine_category,proper_noun,128,4,delta_ce,category_minus_document_mean,1.8452729233645966,13,0.5076975878333936,3.5748817804823885
fine_category,punctuation,128,4,delta_ce,category_minus_document_mean,-0.08708825006249979,16,-0.22243176633602663,0.058358722208824904
fine_category,question_word,128,4,delta_ce,category_minus_document_mean,-0.20904725496362603,11,-0.5499313479694647,0.20872586129837736
fine_category,subordinating_conjunction,128,4,delta_ce,category_minus_document_mean,0.09270798183520886,8,-0.20435782485689286,0.41900848066116403
fine_category,verb,128,4,delta_ce,category_minus_document_mean,0.10054973625670946,16,-0.08298674408492555,0.2795470326566814
fine_category,adjective,128,16,delta_ce,category_minus_document_mean,-0.017515799734203388,14,-0.2260838679805005,0.2299143838862893
fine_category,adposition,128,16,delta_ce,category_minus_document_mean,-0.2386601249743205,16,-0.37199856685193033,-0.11704621072079094
fine_category,adverb,128,16,delta_ce,category_minus_document_mean,0.23353587153484315,11,-0.21768839870478118,0.8422334250193613
fine_category,auxiliary,128,16,delta_ce,category_minus_document_mean,-0.18445331249655342,14,-0.30987987214972434,-0.06125977822521553
fine_category,common_noun,128,16,delta_ce,category_minus_document_mean,0.21330361193716202,16,0.041110654251652994,0.388895526608723
fine_category,coordinating_conjunction,128,16,delta_ce,category_minus_document_mean,-0.4217100005658883,15,-0.6782040122066699,-0.19607456784100427
fine_category,determiner,128,16,delta_ce,category_minus_document_mean,-0.1537735394186142,16,-0.3463444235627915,0.07133583547699525
fine_category,interjection,128,16,delta_ce,category_minus_document_mean,0.1422385892765874,2,-0.2691259509518886,0.5536031295050634
fine_category,negation,128,16,delta_ce,category_minus_document_mean,-0.5779147111530178,10,-0.9428253796848645,-0.27471608246003776
fine_category,number,128,16,delta_ce,category_minus_document_mean,0.2219465514808451,6,-0.27680356885624113,0.8756779923668758
fine_category,other,128,16,delta_ce,category_minus_document_mean,-0.2163550693693544,16,-0.45039992352821656,0.0430244428602081
fine_category,particle,128,16,delta_ce,category_minus_document_mean,-0.464757373360576,9,-0.7037695068911857,-0.24091704941856604
fine_category,pronoun,128,16,delta_ce,category_minus_document_mean,-0.1029289931580264,15,-0.2348370425970915,0.036906196458009376
fine_category,proper_noun,128,16,delta_ce,category_minus_document_mean,1.8485529545368373,13,0.4785134337848296,3.65760873472953
fine_category,punctuation,128,16,delta_ce,category_minus_document_mean,-0.10262390549060663,16,-0.26229421006486875,0.0572679405688029
fine_category,question_word,128,16,delta_ce,category_minus_document_mean,-0.0810909331153452,11,-0.4982044245104798,0.5078956364844577
fine_category,subordinating_conjunction,128,16,delta_ce,category_minus_document_mean,0.21609293444082608,8,-0.18227810351765267,0.6459891154055419
fine_category,verb,128,16,delta_ce,category_minus_document_mean,0.14968478414119435,16,-0.0496032824143585,0.35362827618060855
fine_category,adjective,512,0,delta_ce,category_minus_document_mean,0.08488849495709684,14,-0.12334718555569268,0.3742854480106141
