layer,block_index,content_minus_function,ci_low,ci_high,documents,ci_excludes_zero,permutation_p_value,fdr_q_value,fdr_significant_0.05,key_start,key_end
0,94,0.0001774975910489228,1.8826856729837246e-05,0.000359580116001201,8,True,0.0859375,0.3235294117647059,False,12032,12160
0,95,0.00027205970303665147,3.0281715026025412e-05,0.0005196780453166053,8,True,0.078125,0.31347962382445144,False,12160,12288
0,96,5.888169079579689e-05,-7.2002749593709265e-06,0.00012837524302975468,8,False,0.171875,0.43052837573385516,False,12288,12416
0,97,9.82950285176375e-05,1.6650069901924308e-05,0.0001817634563861141,8,True,0.1015625,0.34759358288770054,False,12416,12544
0,98,0.00014896422550696696,2.858070728580671e-05,0.00026069013124830183,8,True,0.0625,0.28776978417266186,False,12544,12672
0,99,-1.1714317619103019e-05,-0.00027135821110704913,0.00020671665447062203,8,False,0.9609375,0.9800796812749004,False,12672,12800
0,100,5.4300787405317074e-05,-8.383335182545692e-05,0.00017475427564661323,8,False,0.4296875,0.6781750924784217,False,12800,12928
0,101,0.00035685073183831155,2.0276347837449755e-05,0.0008249572566045395,8,True,0.1015625,0.34759358288770054,False,12928,13056
0,102,0.00030891097993499716,1.0361721897365526e-05,0.0006085152688102572,8,True,0.109375,0.35175879396984927,False,13056,13184
0,103,-0.0001597545215051286,-0.0003045675802599973,-2.2183951124347163e-05,8,True,0.1015625,0.34759358288770054,False,13184,13312
0,104,0.0001766355078506318,6.357455085725316e-05,0.00031412791483952074,8,True,0.03125,0.22727272727272727,False,13312,13440
0,105,0.00010636123410061663,4.5048487884176845e-05,0.0001645010449100612,8,True,0.0234375,0.2054794520547945,False,13440,13568
0,106,0.00010833602523457333,-1.5891647757815005e-05,0.00021833477067878908,8,False,0.1328125,0.38288288288288286,False,13568,13696
0,107,0.0001155455100143918,7.483817817338207e-05,0.00016238227023330901,8,True,0.0078125,0.14925373134328357,False,13696,13824
0,108,0.00013250504528927325,2.7672014969365207e-05,0.000258699022831383,8,True,0.0390625,0.25,False,13824,13952
0,109,0.0002707635844308913,0.00015110058483972346,0.0003912714830924483,8,True,0.015625,0.16806722689075632,False,13952,14080
0,110,0.0002874185918008434,3.218922365993322e-05,0.0005361625978221279,8,True,0.0859375,0.3235294117647059,False,14080,14208
0,111,0.0002046358090053383,7.319845376970936e-05,0.0003535501206299498,8,True,0.0234375,0.2054794520547945,False,14208,14336
