layer,content_minus_function,ci_low,ci_high,documents,ci_excludes_zero,permutation_p_value,fdr_q_value,fdr_significant_0.05,metric
2,0.0030854654206160636,0.00012042689953134511,0.005875332556910548,8,True,0.1171875,0.34375,False,remote_top8_mass
4,-0.0010304456485970156,-0.004018630650281404,0.0023429856904331288,8,False,0.5625,0.625,False,remote_top8_mass
8,-0.0007543458549795524,-0.004408981681272038,0.0028094227236434254,8,False,0.6953125,0.6953125,False,remote_top8_mass
12,0.00268067410950972,-0.0011442113956641412,0.0059550365493129444,8,False,0.234375,0.390625,False,remote_top8_mass
16,0.0036453339132937346,-0.0037753379648169712,0.012318356412373378,8,False,0.5078125,0.625,False,remote_top8_mass
20,0.004657018441247621,-0.0016214532403631206,0.0098061723206195,8,False,0.171875,0.34375,False,remote_top8_mass
24,-0.004326593251546049,-0.006520689197527509,-0.002104862769630909,8,True,0.0234375,0.15625,False,remote_top8_mass
27,-0.007730643931327176,-0.012408947247663314,-0.002467218584646636,8,True,0.03125,0.15625,False,remote_top8_mass
0,0.02767077526929157,0.010456810709184857,0.04136382001203252,8,True,0.03125,0.109375,False,remote_entropy
1,-9.611432002032405e-05,-0.0065944371748378906,0.0064316665717125,8,False,0.9921875,0.9921875,False,remote_entropy
2,0.020363884757162,0.004369319848348652,0.036817926763244996,8,True,0.0546875,0.109375,False,remote_entropy
4,0.014933489362256913,-0.012938736566626141,0.04330663534703274,8,False,0.3671875,0.458984375,False,remote_entropy
8,0.034105206945577726,0.006615906170082876,0.060397623713410196,8,True,0.0546875,0.109375,False,remote_entropy
12,0.04146273108117815,0.019171612647065794,0.062131742061584894,8,True,0.0234375,0.109375,False,remote_entropy
16,0.09027869034741873,0.0030427115261766335,0.1910917699318288,8,True,0.1328125,0.22135416666666666,False,remote_entropy
20,0.026159853553210544,-0.032415259553532194,0.08697484677194187,8,False,0.4453125,0.4947916666666667,False,remote_entropy
24,-0.015077620536023906,-0.027543684268853525,-0.003176862121500812,8,True,0.0546875,0.109375,False,remote_entropy
27,0.019539960116954636,-0.0029424143903880244,0.041091919188399106,8,False,0.15625,0.22321428571428573,False,remote_entropy
0,0.9483801713282238,0.44731092313671894,1.343676632771131,8,True,0.015625,0.078125,False,remote_effective_blocks
1,-0.02285701904714621,-0.33764861543957886,0.2937666183099159,8,False,0.921875,0.921875,False,remote_effective_blocks
2,0.7508436790257491,0.04710939182968765,1.4720327433586868,8,True,0.1015625,0.21875,False,remote_effective_blocks
4,0.21776571081761542,-0.5736441758541293,1.0624508368355334,8,False,0.65625,0.7291666666666666,False,remote_effective_blocks
8,0.6800588123025753,-0.03529247473144104,1.2871680905184792,8,False,0.109375,0.21875,False,remote_effective_blocks
