context_length,layer,prefix_size,attention_mass_mean,attention_mass_median,attention_mass_max,concentration_mean,heads_above_10x_uniform,contribution_norm_ratio_mean,documents,queries
24576,0,4,5.64858857465822e-05,1.4072954330618392e-06,0.0008631061876087642,0.3465734899509698,0.004115513576834928,0.00010982436090500869,8,512
24576,0,16,0.0002014366980063187,7.143969053269306e-06,0.0022792919688185975,0.3089958037453471,0.001255580413271673,0.0002702102420499841,8,512
24576,0,64,0.0007547192091124089,2.7286556666616946e-05,0.007927401411052415,0.28940907384094317,0.0003487723370199092,0.0008733147623729565,8,512
24576,0,128,0.0016191553863791341,4.942213391423422e-05,0.016823564176775108,0.3104698243259918,6.975446740398183e-05,0.001786532076266667,8,512
24576,1,1,7.55498879918548e-05,1.399952066329438e-06,0.0014098557917066046,1.8540478456416167,0.03257533635041909,0.00022718587069192608,8,512
24576,1,4,0.0002389946587939562,1.363299937930107e-05,0.004185265983323916,1.466190978884697,0.024135045750881545,0.0006385757453983842,8,512
24576,1,16,0.0006296986385052605,7.697431567521562e-05,0.008283835895781522,0.9657784808659926,0.012695313067524694,0.0012949550985581482,8,512
24576,1,64,0.0019026577000431644,0.0003733557160146006,0.018185608876592596,0.7296712638926692,0.006417411001166329,0.003126996648916247,8,512
24576,1,128,0.0028741620767505083,0.0006655308518901393,0.022584372630262806,0.5511350727174431,0.0015345982828876004,0.004161884146697048,8,512
24576,2,1,0.0003086048345153358,0.00010682989701216172,0.0025874768499534184,7.574181758100167,0.17445592315198155,0.001137544415598768,8,512
24576,2,4,0.0005432347572167373,0.0002126448704871109,0.004129012388148112,3.3331242876593024,0.05859375292493496,0.0017669833759157427,8,512
24576,2,16,0.0017294489552455161,0.0006771406119980838,0.010605928438053525,2.652840768569149,0.04910714526340598,0.003436132688989346,8,512
24576,2,64,0.003591201669905786,0.0016339875382982427,0.019548742860934,1.3771901446161792,0.01339285780704813,0.0059036325346824015,8,512
24576,2,128,0.004974395072167681,0.002476834018182217,0.02534999524414161,0.953837150358595,0.0047433038271265104,0.007465846679679089,8,512
24576,4,1,0.5192392010067124,0.5451915853773244,0.8759927073842846,12743.99026298523,1.0,0.5504325698420871,8,512
24576,4,4,0.584293286956381,0.6157452902989462,0.9586428176844493,3585.1609988212585,0.9995814734138548,0.6200003636768088,8,512
24576,4,16,0.5850365698570386,0.6171143812243827,0.9591218428686261,897.4304995536804,0.9968610506039113,0.6197774179745466,8,512
24576,4,64,0.5863840839010663,0.6184222679585218,0.9608324366854504,224.87436565756798,0.9814453213475645,0.6171785104670562,8,512
24576,4,128,0.5875909540336579,0.6196211749920622,0.9617825176101178,112.66860507428646,0.9639369584619999,0.6153668290935457,8,512
24576,8,1,0.3963426133268513,0.3688956102123484,0.8057908486225642,9727.653553009033,0.9999302455689758,0.38752470951294526,8,512
24576,8,4,0.4417391564347781,0.4157022765430156,0.8817972897086293,2710.459883213043,0.999651227844879,0.43233897231402807,8,512
24576,8,16,0.44192464678781107,0.41589578840648755,0.8818542292574421,677.8995171189308,0.9965122784487903,0.432168602157617,8,512
24576,8,64,0.4426115913374815,0.41657303596730344,0.8820376934017986,169.73833368718624,0.9764230023138225,0.43176673285779543,8,512
24576,8,128,0.4433413792576175,0.41734603309305385,0.8822732213884592,85.00909920781851,0.9488002459984273,0.4312900130462367,8,512
24576,12,1,0.23884102834563237,0.19885080032690894,0.6321741118154023,5861.908002138138,0.9993722101207823,0.23968103916558903,8,512
24576,12,4,0.27424615233030636,0.23305367650755215,0.6986263187136501,1682.7125425934792,0.9972795771900564,0.275021307359566,8,512
24576,12,16,0.2742920887976652,0.2331211015844019,0.6986430039978586,420.7485970854759,0.9866769034415483,0.2749948528871755,8,512
24576,12,64,0.27460513974074274,0.23357102592126466,0.6987200133153237,105.30720457062125,0.9287109632277861,0.2748955962670152,8,512
24576,12,128,0.27493752003647387,0.23406873024941888,0.6988047200138681,52.7173337880522,0.8593052822398022,0.27480603413278004,8,512
24576,16,1,0.13048768373846542,0.08326869135817105,0.4487592639197828,3202.5743272304535,0.9918387315701693,0.11087039585254388,8,512
24576,16,4,0.15492337732575834,0.10610085358894139,0.5006782544660382,950.5618942677975,0.9695173127111048,0.13229425684403395,8,512
24576,16,16,0.15495949942123843,0.10614748109037464,0.5007150628662203,237.6958823055029,0.9103655413491651,0.13228465113206767,8,512
